ISO,Country,Data source,Sector,Gas,Unit,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
EUU,European Union (27),Climate Watch,Total excluding LUCF,CO2,MtCO₂e,2465.03,2729.77,2867.93,2932.15,2907.4,2897.32,2839.98,2984.33,3061.11,3121.39,3215.8,3131.2,3378.39,3456.87,3498.54,3489.98,3507.06,3502.7,3412.87,3421.06,3364.06,3355.11,3413.11,3421.98,3490.93,3391.25,3340.15,3350.88,3414.36,3530.56,3567.9
DEU,Germany,Climate Watch,Total excluding LUCF,CO2,MtCO₂e,603.35,658.69,707.77,732.2,747.15,742.31,736.01,776.15,760.13,746.48,773.07,734.81,789.69,783.8,814.41,802.38,821.07,836.79,833.38,847.68,830.28,833.59,865.25,872.65,904.34,874.66,875.9,887.06,892.82,932.55,955.31
ITA,Italy,Climate Watch,Total excluding LUCF,CO2,MtCO₂e,281.29,317.22,324.88,329.19,333.34,337.86,327.5,346.46,376.75,396.69,405.27,397.06,444.98,459.37,466.65,473.83,472.4,462.2,443.47,436.57,436.3,433.01,426.37,415.52,412.15,416.42,392.29,396.93,402.27,404.07,405.26
POL,Poland,Climate Watch,Total excluding LUCF,CO2,MtCO₂e,279.22,294.95,311.75,312.77,299.8,289.08,285.73,298.3,303.35,310.59,313.74,297.26,308.33,313.38,314.09,301.35,301.85,297.73,287.32,293.63,295.77,308.98,318.41,344.63,355.32,340.0,339.75,344.02,343.37,351.62,350.21
FRA,France,Climate Watch,Total excluding LUCF,CO2,MtCO₂e,267.15,300.56,306.95,317.72,313.84,311.18,306.02,338.45,338.32,335.03,347.94,343.88,358.21,363.05,371.74,380.82,377.95,376.84,371.17,376.86,373.24,375.0,381.18,359.14,367.96,352.28,344.48,349.52,368.66,380.69,356.3
ESP,Spain,Climate Watch,Total excluding LUCF,CO2,MtCO₂e,202.71,241.89,258.37,264.72,248.25,257.25,241.98,243.79,270.28,275.47,274.14,288.13,324.27,354.68,341.78,350.5,335.56,318.66,312.75,294.79,293.31,278.3,256.22,248.6,230.11,240.57,228.45,218.08,232.37,222.1,214.95
NLD,Netherlands,Climate Watch,Total excluding LUCF,CO2,MtCO₂e,130.32,145.94,151.38,155.71,158.5,157.38,149.79,157.09,157.47,158.77,171.11,160.49,165.22,164.55,163.7,167.93,172.12,170.36,167.43,167.12,162.1,161.45,166.73,166.31,173.62,164.11,159.6,160.14,156.01,157.27,151.52
CZE,Czech Republic,Climate Watch,Total excluding LUCF,CO2,MtCO₂e,88.84,97.71,102.73,103.55,103.0,101.17,99.96,102.91,107.32,111.22,114.17,113.25,118.72,124.43,122.55,121.89,123.79,123.37,120.21,124.34,124.72,112.36,119.77,126.01,128.48,124.52,125.2,130.98,136.84,139.76,153.15
BEL,Belgium,Climate Watch,Total excluding LUCF,CO2,MtCO₂e,85.36,92.99,93.52,92.59,94.17,95.1,90.36,96.55,95.28,96.49,106.87,99.9,106.72,103.91,108.08,110.96,113.35,115.5,110.85,118.34,117.27,115.51,119.41,116.63,119.45,114.57,114.9,110.11,112.33,113.96,109.31
ROU,Romania,Climate Watch,Total excluding LUCF,CO2,MtCO₂e,68.66,73.94,75.19,74.21,71.59,73.31,71.54,72.09,81.84,84.05,77.6,80.7,95.41,96.73,99.25,94.68,95.34,98.14,93.73,95.22,89.0,84.97,99.51,113.6,124.2,120.87,115.15,117.69,126.19,142.76,172.63
